SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
161	BRK185	2	1	2	Soybean	n	n	Unfermented	C2299	Pig	C	PigC	C2299 PigC	DUP112									
179	BRK186	2	1	2	Soybean + Seaweed	n	y	Fermented	EP200	Pig	C	PigC	EP200 PigC	DUP98									
251	BRK187	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Pig	C	PigC	XYL2 EP2299 PigC	DUP119									
265	BRK188	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP200	Pig	A	PigA	XYLC EP200 PigA	DUP110									
154	BRK189	2	1	2	Soybean	n	n	Unfermented	C200	Pig	B	PigB	C200 PigB	DUP63									
PCR C	BRK190	2	1	2			n	Unfermented	PCRCON	PCRCON	PCRCON	PCRCONPCRCON	PCRCON PCRCONPCRCON	DUP60									
P6N	BRK191	2	1	2			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
P6P	BRK192	2	1	2			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
115	R2_BRK1	1	2	3	Xylan + Rapeseed	y	n	Fermented	XYC EP100	Human	A	HumanA	XYC EP100 HumanA	DUP120									
130	R2_BRK2	1	2	3	Xylan + Soybean	y	n	Fermented	XYLC EP200	Human	B	HumanB	XYLC EP200 HumanB	DUP9									
44	R2_BRK3	1	2	3	Soybean + Seaweed	n	y	Fermented	EP2299	Human	A	HumanA	EP2299 HumanA	DUP14									
