F;BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN;SEAWEED;FERMENTED;SUBSTRATE;ANIMAL;DONOR;UNIQUES;UNIQUES2;BIOLEC
169;BRK97;2;1;2;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;A;EP1199 PigA;EP1199 PigA 169;B3
170;BRK70;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;A;EP1199 PigA;EP1199 PigA 170;B1
171;BRK73;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;B;EP1199 PigB;EP1199 PigB 171;B2
173;BRK69;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;C;EP1199 PigC;EP1199 PigC 173;B1
174;BRK93;1;2;3;RapeseedSeaweed;n;y;Fermented;EP1199;Pig;C;EP1199 PigC;EP1199 PigC 174;B2
175;BRK161;2;1;2;Soybean;n;y;Fermented;EP200;Pig;A;EP200 PigA;EP200 PigA 175;B5
176;BRK158;2;1;2;Soybean;n;y;Fermented;EP200;Pig;A;EP200 PigA;EP200 PigA 176;B5
177;BRK122;2;1;2;SoybeanSeaweed;n;y;Fermented;EP200;Pig;B;EP200 PigB;EP200 PigB 177;B4
178;BRK123;2;1;2;SoybeanSeaweed;n;y;Fermented;EP200;Pig;B;EP200 PigB;EP200 PigB 178;B4
179;BRK186;2;1;2;SoybeanSeaweed;n;y;Fermented;EP200;Pig;C;EP200 PigC;EP200 PigC 179;B6M
180;BRK149;2;1;2;Soybean;n;y;Fermented;EP200;Pig;C;EP200 PigC;EP200 PigC 180;B5
181;BRK178;2;1;2;SoybeanSeaweed;n;y;Fermented;EP2299;Pig;A;EP2299 PigA;EP2299 PigA 181;B6M
182;BRK172;2;1;2;SoybeanSeaweed;n;y;Fermented;EP2299;Pig;A;EP2299 PigA;EP2299 PigA 182;B6M
183;BRK151;2;1;2;Soybean;n;y;Fermented;EP2299;Pig;B;EP2299 PigB;EP2299 PigB 183;B5
184;BRK150;2;1;2;Soybean;n;y;Fermented;EP2299;Pig;B;EP2299 PigB;EP2299 PigB 184;B5
185;BRK98;2;1;2;SoybeanSeaweed;n;y;Fermented;EP2299;Pig;C;EP2299 PigC;EP2299 PigC 185;B3
186;BRK124;2;1;2;RapeseedSeaweed;n;y;Fermented;EP100;Pig;C;EP100 PigC;EP100 PigC 186;B1
186;BRK68;1;2;3;SoybeanSeaweed;n;y;Fermented;EP2299;Pig;C;EP2299 PigC;EP2299 PigC 186;B1
187;BRK59;1;2;3;Xylan;y;n;Xylan;XYL1;Pig;C;XYL1  PigC;XYL1  PigC 187;B1
188;BRK62;1;2;3;Xylan;y;n;Xylan;XYL1;Pig;A;Xyl1 PigA;Xyl1 PigA 188;B1
189;BRK163;2;1;2;Xylan;y;n;Xylan;XYL1;Pig;B;XYL1 PigB;XYL1 PigB 189;B5
190;BRK181;2;1;2;Xylan;y;n;Xylan;XYL1;Pig;B;XYL1 PigB;XYL1 PigB 190;B6M
191;BRK60;1;2;3;Xylan;y;n;Xylan;XYL1;Pig;C;XYL1  PigC;XYL1  PigC 191;B1
192;BRK176;2;1;2;Xylan;y;n;Xylan;XYL1;Pig;C;XYL1 PigC;XYL1 PigC 192;B6M
193;BRK154;2;1;2;Xylan;y;n;Xylan;XYL2;Pig;A;XYL2 PigA;XYL2 PigA 193;B5
194;BRK49;1;2;3;Xylan;y;n;Xylan;XYL2;Pig;A;XYL2 PigA;XYL2 PigA 194;B1
195;BRK51;1;2;3;Xylan;y;n;Xylan;XYL2;Pig;B;XYL2 PigB;XYL2 PigB 195;B1
